ARRC ID,NCIC AGENCY CODE,YEAR,MONTH,LOCATION TYPE,TYPE OF LOSS,VALUE,PROPERTY CATEGORY,QUANTITY,S.RACE,S.GENDER,V.RACE,V.GENDER,VICTIM TYPE,WEAPON,OFFENSE CODE,CODE TYPE,DESCRIPTION,CHARGE TYPE,BCS CODE,SUMMARY CODE
1508,3318,2004,04,Public Reproductive Health Facility,,,,,White,Male,Hispanic,Female,Individual Client,Handgun,664/187(A),PC   ,ATTEMPTED MURDER,F    ,300,06
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,06
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,06
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,06
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,06
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
3261,4502,2004,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
4228,3905,2004,07,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",255,Commercial/Business,1,White,Male,,,Health Facility,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,M    ,066,47
4229,3313,2004,04,Public Reproductive Health Facility,,,,,White,Male,White,Male,Individual Client,,415(3),PC   ,OFFENSIVE WORDS:PUBLIC PL,M    ,056,46
4272,3313,2004,04,Public Reproductive Health Facility,,,,,Hispanic,Female,Hispanic,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
5063,4807,2004,04,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",0,Public/Community,1,Unknown,Unknown,,,Health Facility,,374.3(A),PC   ,DUMP WAST:PUB/ETC:COMERCL,M    ,058,60
5064,0704,2004,07,Public Reproductive Health Facility,,,,,White,Male,,,Health Facility,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
8120,1502,2004,02,Residence/Home/Driveway,,,,,White,Male,White,Female,Individual Client,,422,PC   ,THREAT CRIME:INT:TERORIZE,M    ,399,30
11431,1925,2005,03,Commercial/Office Building,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Business,Fire/Incendiary Device,451(D),PC   ,ARSON:PROPERTY,F    ,924,24
11431,1925,2005,03,Commercial/Office Building,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Business,Fire/Incendiary Device,422.6(B),PC   ,DAMAGE PROP:VIO CIVL RGHT,M    ,066,47
11431,1925,2005,03,Commercial/Office Building,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Business,Fire/Incendiary Device,453(A),PC   ,POS/ETC ARSON MATERIL/DEV,F    ,922,24
11759,1925,2005,03,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,F    ,064,25
11760,2109,2005,02,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",2000,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,F    ,064,25
11763,3313,2005,04,Private Reproductive Health Facility,,,,,Hispanic,Male,Hispanic,Male,Individual Other,"Personal Weapons (hands, feet, etc.)",242,PC   ,BATTERY ON PERSON,M    ,397,30
12300,2109,2005,06,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,M    ,066,47
12954,3313,2005,07,Private Reproductive Health Facility,,,,,White,Female,Hispanic,Female,Individual Client,"Personal Weapons (hands, feet, etc.)",240,PC   ,ASSAULT,M    ,396,30
